●モンスターハンターポータブル3rd けんてー　新情報編②

PSP用ソフト、モンスターハンターポータブル3rdの新情報のけんてーです。ttp://www.hamq.jp/i.cfm?i=lcasio画像などが載っているサイト一日一アクセスよろしくです／


[第1問] クルペッコ亜種の体の色と腕についているものの名前の正しい組み合わせは？

(1) 青色、氷結石

(2) 白色、氷結石

(3) 赤色、電気石

(4) 黒色、火打石


[第2問] ボルボロス亜種が体にまとうものは？

(1) 溶岩

(2) 草

(3) 泥

(4) 雪


[第3問] ロアルドロス亜種はどんな属性技を使う？

(1) 氷

(2) 毒

(3) 麻痺

(4) 睡眠


[第4問] 鷹の爪とのコラボムービーロングverで映っていなかったのは？

(1) ニャン次郎

(2) 10連よろず焼き

(3) オトモトレーニング

(4) オトモアイルー


[第5問] 次の内、3rdで追加された新機能でないものは？

(1) ポップアップアイコン

(2) 臨時ポーチ

(3) タル配便

(4) ルアー釣り


[第6問] ボルボロス亜種の落とし物の中で一番手に入りにくい素材は？

(1) 氷砕竜の頭殻

(2) 竜のナミダ

(3) 氷砕竜の目玉

(4) 凍った粘着塊


[第7問] 孤島にいるロアルドロスはどうやってスタミナを回復する？

(1) 水辺にいることで回復

(2) モンスター捕食で回復

(3) 滝を浴びて回復

(4) 水中にもぐって回復


[第8問] モンハン3rdの体験版で使用できる武器は？

(1) 弓

(2) 狩猟笛

(3) 双剣

(4) ガンランス

