●ﾒﾀﾙｷﾞｱｿﾘｯﾄﾞ4検定

ﾒﾀﾙｷﾞｱｿﾘｯﾄﾞ4で実際使われてる技術の検定です


[第1問] ﾒﾀﾙｷﾞｱｿﾘｯﾄﾞ4で主に軍事ｱﾄﾞﾊﾞｲｻﾞｰを担当したｽﾀｯﾌは？

(1) 小島秀夫

(2) 荒川洋司

(3) 毛利元貞

(4) 小川友太


[第2問] ﾒﾀﾙｷﾞｱでの自動小銃の待機状態での(射撃以外)構\え方を何と言う？

(1) ﾊｲﾚﾃﾞｨ

(2) ﾛｰｺﾝﾄﾛｰﾙ

(3) ﾛｰﾚﾃﾞｨ

(4) ｳｪｲﾃｨﾝｸﾞ


[第3問] 音も無く敵を抹殺できるﾅｲﾌは第二次世界大戦やﾍﾞﾄﾅﾑ戦争の何の部隊に多く利用された？

(1) 特殊部隊

(2) 諜報機関

(3) 警察

(4) PMC


[第4問] 対象が狙いにくい場合、銃を右から左に(左から右に)持ち替えて射撃する方法を何と言う？

(1) スイッチング

(2) トラベリング

(3) サーチング

(4) ターゲッティング


[第5問] スネークが使用している
オペレーターはどこの社で製造された？

(1) コルト社

(2) スプリングフィールド社

(3) シグ社

(4) ヘッケラー&コッホ社


[第6問] Ｌ字型通路やドアのついた部屋に突入する場合、
角度をつけながら、弧を描き、ゆっくり室内を索敵する方法を何と言う？

(1) ドアエントリー

(2) クリアリング

(3) カッティングパイ

(4) ＣＱＢ


[第7問] 軍隊等で最少人数とされている二人組での組み方の事を何と言う？

(1) ﾂｰﾏﾝｾﾙ

(2) ツーマン

(3) ﾏﾝﾂｰﾏﾝ

(4) ﾂｰﾏﾝﾊﾞﾃﾞｨ


[第8問] ＭＧＳ4でのＰＭＣが使用しているコマンドベストは？

(1) スワットベスト

(2) ブラックウォーターベスト

(3) ダイヤモンドバックプレートキャリア

(4) Ｃ．Ｉ．Ｒ．Ａ．Ｓベスト


[第9問] スネークが使用している
Ｍ4カスタムはスコープ等を付けた際にあるものが邪魔にならないようになっている。あるものとは？

(1) リアサイト

(2) フロントサイト

(3) チャージングハンドル

(4) ハンドガード


[第10問] AKは操作が簡単で堅牢であることが有名だが､これはAKのある特徴のある構\造に秘密があるとされている｡その構\造とは？

(1) 内部の部品が隙間なく詰められている

(2) 内部にﾘｭﾝｸﾞﾏﾝｼｽﾃﾑを搭載している

(3) 内部の激針が通常のｱｻﾙﾄﾗｲﾌﾙと違う

(4) 内部の構\造に余裕をもたせてｽﾍﾟｰｽを設けている

