●ﾃｲﾙｽﾞｵﾌﾞｼﾝﾌｫﾆｱﾗﾀﾄｽｸの騎士 検定

ﾗﾀﾄｽｸの検定です！ 主にｷｬﾗｸﾀｰについての問題です！常識ですよ〜


[第1問] まずは基礎から
エミルとマルタの声優さんは？ エミル・マルタの順で

(1) 下野紘・堀江由衣

(2) 下野紘・釘宮理恵

(3) 下野紘さんの一人二役


[第2問] ジーニアスとリフィル先生の種族は？

(1) ハーフエルフ

(2) 人間

(3) エルフ

(4) 天使


[第3問] 前作で出てきたミズホのおろちは今作ではいたかな？

(1) いた

(2) いなかった

(3) そんなやつはシンフォニアにはいない！


[第4問] マルタの頭についている花は生花？それとも造花？

(1) 生花

(2) 造花

(3) 花なんてついてない


[第5問] エミル(リヒター)の名言は？

(1) 目の前の人間も救えないで世界再生なんてやれるかよ

(2) エミルは私の王子様だもん♪

(3) 勇気は夢を叶える魔法だよ


[第6問] ストーリー８章の名前は？

(1) 最高のパートナー

(2) 永遠の絆

(3) 永遠に…

(4) 響きあう心


[第7問] マルタがエミルに最後に『好き』と言ったのはいつ？

(1) 第８章　アルタミラでのイベント

(2) 第８章　マルタを含める全員がギンヌンガ・ガップを出るとき

(3) 第８章　ギンヌンガ・ガップでのアリスとデクスとの戦闘後


[第8問] アクアやマルタが使うテネブラエがウザい時の呼び方は？

(1) テネブちゃん

(2) 最低最悪テネブラエ

(3) 肉球

(4) 陰険ジジブラエ


[第9問] マルタがアリスを嫌っている訳は？

(1) 自分のことを『アリスちゃん』と呼んでいるから

(2) 自分の好きなエミルを殺そうとしたから

(3) 自分の父親のブルートをそそのかした黒幕だから


[第10問] ｱｽﾃﾙとﾘﾋﾀｰはどこの研究所で働いていた？

(1) ﾊﾟﾙﾏｺｽﾀ

(2) ｻｲﾊﾞｯｸ

(3) ﾒﾙﾄｷｵ

(4) ﾙｲﾝ

