●ガンバライド検定（Round2）

仮面ライダーバトルガンバライドの検定です。（注）ルールはシャバドゥビ３弾のシステムに基づくものとします。ライダーの数については、オーズのコンボ違い、ウィザードのスタイル違い等の同じチームに組み込めるライダーは別ライダーとしてカウントし、バイクカード、バースとバースデイ等の同じチームに組み込めないライダーは同一ライダーとしてカウントします。　レアリティの略称はLR＝レジェンドレア、SR＝スーパーレア、R＝ノーマルレア、N＝ノーマル、CP＝キャンペーンです。


[第1問] 次のうち、５周年記念のゴールドカード（5th-001～005）のカードが有するライダースキル名でないものはどれか。

(1) 宇宙キターッ

(2) オーズ誕生

(3) お前の罪を数えろ

(4) なぜ知っているかは覚えていない


[第2問] ディケイド（コンプリートフォーム（ＣＦ）、激情態含む）についての以下の説明について、正しいものはどれか。（注）ＲＵＢＥ＝ライジングアルティメットブラックアイ

(1) 「ディケイドライナー」等のファイナルアタックライドは９種全て必殺技で見ることができる

(2) ２弾での初登場以来、いずれかのフォームで皆勤賞を続けている

(3) 06弾以前のカード中、必殺威力で理論上最高値を出すカードはディケイドＣＦである

(4) 激情態のカードは、ナンバリングでは原則クウガ（ＲＵＢＥ）の直前に並ぶ


[第3問] 仮面ライダーＷについて、以下のうち正しいものはどれか。

(1) プリズムトルネードが出せるスーパーレアカードは存在しない

(2) Ｗ放送中とオーバーラップする６～１１弾の001番のカードは全てＬＲである

(3) 10弾のガイアメモリキャンペーンカードのバーコードはＷ５種については全て過去弾の再録である

(4) ガイアメモリとガンバライドは連動していた


[第4問] 仮面ライダーオーズについて、以下のうち正しいものはどれか。なお、以下の問題について、「SR扱いのCPカード」とは、星（又は宝石）の数がSRと同じ数のキャンペーンカードのことをいうものとする。

(1) ＳＲ扱いのＣＰカードは、主要７コンボ全て同じ枚数存在する

(2) 「〇〇〇・チェンジ・ザ・メダルズ」のカード１枚でオーズ各コンボの劇中必殺技７種を全て見ることができる

(3) オーズが二刀流で攻撃するカードがある

(4) 亜種形態のライダータイプは原則頭部のメダルに対応するため、タカトラーターは「火」である


[第5問] 仮面ライダーフォーゼの各ステイツについて、以下のうち間違っているものはどれか。

(1) ＳＲ扱いのキャンペーンカードが存在するのは、ベースステイツのみである

(2) エレキステイツで自身のＡＰを上げることはできない

(3) マグネットステイツは前衛時、必ず攻撃と防御が+50される

(4) コズミックステイツでヒッサツ威力が最も高くなるのはＳＲのカードである


[第6問] ＴＶ本編に登場する役者とガンバライドについて、次のうち、正しいものはどれか。

(1) ディケイドからウィザードまでの５作のヒロイン中、ガンバライド内で声が収録されたことがあるのはユウキだけである

(2) バースの声に後藤さんが当てられたのは、006弾からである

(3) 必殺技に「ロストブレイズ」を含むタジャドルコンボのカードでは、登場時の「タカ！クジャク！コンドル！」の音はアンクが喋る

(4) 地獄兄弟（パンチ＆キックホッパー）は両方とも演じた本人が声を当てている


[第7問] バトルサポーターについて、以下のうち最も適切なものはどれか。

(1) レベル１（かんたん）のサポーターはこちらのレベルを問わず入手できる

(2) 対応するタイプのレベルが15以上であれば、メドゥーサ撃破時にレベル15のサポーターを入手できる

(3) メテオなでしこフュージョンステイツは、宇宙タイプのバトルサポーターである

(4) バトルサポーターをバトルで使用するか否かは任意であり、プレイヤーが選択できる


[第8問] 次のうち、ゲーム内で起こり得るものはどれか。

(1) コウゲキの値が０になる

(2) プレイヤーのチームタイリョクが3500を超える

(3) 「ひとりであそぶ」モードでプレイヤーが１ターンキルをする

(4) ミガワリボウギョ-100％


[第9問] タイプ進化の際に付く称号の、激、烈の後の順番が正しく並んでいるものはどれか。

(1) 爆→超→轟→絶

(2) 超→爆→轟→絶

(3) 超→爆→絶→轟

(4) 爆→轟→超→絶


[第10問] ウィザードとリングスキャンについて、正しいものはどれか。

(1) コピー、ビッグ、コネクト、バインドは全て、ウィザードの必殺技を変更する効果がある

(2) ビーストリングをウィザードに使うと、独自の効果が得られる

(3) 必殺技が「サンダー・ハリケーンショータイム」のＨＤをＬＤにチェンジすると、必殺技は「グラビティ・ランドショータイム」になる

(4) エンゲージリングの効果はウィザードとビーストで共通である

