●ﾊﾞｲｵﾊｻﾞｰﾄﾞ  ｺｰﾄﾞﾍﾞﾛﾆｶ

知ってる人は知っている


[第1問] ｱｼｭﾌｫｰﾄﾞ家の6代目はだれ?

(1) ﾄｰﾏｽ

(2) ｱｰｻｰ

(3) ｴﾄﾞﾜｰﾄﾞ

(4) ｱﾚｸｻﾝﾀﾞｰ


[第2問] その6代目は変わり果てた姿になりました｡その名前は?

(1) ﾀｲﾗﾝﾄ

(2) ｱﾙﾋﾞﾉｲﾄﾞ

(3) ﾉｽﾌｪﾗﾄｩ

(4) ｳｲﾙｽ


[第3問] 主人公ｸﾚｱと仲間になった謎の男｡名前はｽﾃｨｰﾌﾞ○○○
○は何?

(1) ﾊﾞｰﾝﾚﾌﾄ

(2) ﾊﾞｰﾝﾗｲﾄ

(3) ﾊﾞｰﾝｻｲﾄﾞ

(4) ﾊﾞｰﾝｾﾝﾀｰ


[第4問] ｱﾙﾌﾚｯﾄﾞはｱﾚｸｼｱが死んでしまったせいで危険な行動を起こすようになります｡何?

(1) 毎日ﾘｽﾄｶｯﾄをするようになった

(2) ｱﾚｸｼｱのものまねをするようになった

(3) ｱﾚｸｼｱの人形を作った

(4) 一度自殺した


[第5問] ｱﾚｸｼｱは天才だった｡何歳で大学を卒業した?

(1) 8歳

(2) 10歳

(3) 12歳

(4) 14歳


[第6問] ｱｲﾃﾑとして手に入れれるﾙｶﾞｰのﾓﾃﾞﾙｶﾞﾝ｡手に入れるとどうなる?

(1) ﾊﾞﾄﾙﾓｰﾄﾞでｽﾃｨｰﾌﾞを使える

(2) ｺﾞｰﾙﾄﾞﾙｶﾞｰが手に入る

(3) ｸﾘｽにあげるｲﾍﾞﾝﾄが見られる

(4) 新しいｱｲﾃﾑが手に入る

