●ラグナロクオンライン・魔法使い検定(ウィザードクラス)

ラグナロクオンラインの2次職、ウィザードのスキルに関する検定です
一部1次職のスキルも含まれています


[第1問] ファイアーウォールは、自分のいるマスに使用するとどのように出る?

(1) スキル使用失敗

(2) 斜め右上に5マス

(3) 自分を中心に東西に3マス

(4) 自分を中心に南北に3マス


[第2問] モンスター情報の前提スキルは?

(1) サイト

(2) SP回復力向上

(3) エナジーコート

(4) なし


[第3問] ファイアーピラーの特性として、間違っているものは?

(1) 罠オブジェクトと同じ処理

(2) Lv5以上でブルージェムストーンを1個消費する

(3) MDEF無視

(4) 火属性攻撃


[第4問] クァグマイアはプレイヤーのものとMobのものとで仕様が違う。その相違ではない項目を選んで下さい

(1) 3枚制限がなく、不発しなければ幾らでも出せる

(2) 5x5セルの効果範囲ではなく、7x7セルの効果範囲

(3) Agi、Dexの減少限界値がなく、51以上減らせることが出来る

(4) 2HQとARを解除出来ない


[第5問] クァグマイアをほぼ同じ場所へ僅かに時間をずらして2つ設置する利点は?

(1) 不発した時の保険

(2) ステータス減少値が2倍になる

(3) 効果時間が2倍近くになる

(4) 利点はない。現実は非情である。


[第6問] 不死、悪魔系Mobへブレスカースされている場合、更にクァグマイアを使用するとどうなる?

(1) Dex半減効果が25%減に低下してしまい、効果時間も残り時間が短い方に準拠してしまう

(2) 効果が相乗し、Dexが1/3になる

(3) 何も起こらない

(4) 永遠にDex半減効果が残る


[第7問] ユピテルサンダーのLv10でのHit数は12ですが、ノックバック距離は?

(1) 7セル

(2) 5セル

(3) 10セル

(4) 12セル


[第8問] ロードオブヴァーミリオンのLv1とLv10の基本詠唱時間はそれぞれ幾つ?

(1) 15秒と10.5秒

(2) 10.5秒と15秒

(3) 10.5秒で同じ

(4) 15秒で同じ


[第9問] 2008/6/1時点で存在するアイスウォールの有名なバグとは?

(1) スキルを使用出来ない

(2) スキル解除後も、術者以外はその設置されたマスに侵入出来なくなる

(3) SP消費が公式と違う

(4) 敵に使うとダメージを与えられる


[第10問] ストームガストは3Hit毎に凍結判定があるが、凍らない敵だとどうなる?

(1) 3Hitで打ち止め

(2) 9Hitして止まる

(3) 不死Mob等の不凍相手には10Hit、BOSS属性には14～15Hitする

(4) 超絶Hitで30Hit以上する

