●ドラゴンクエスト６検定（寄り道編）

ドラクエ６で、クリアと関係の無いサブイベント等についての検定です


[第1問] アモスの病気を治すアイテムはどれ？

(1) かしこさのたね

(2) 理性のたね

(3) かしこそうな草

(4) 静寂の枝


[第2問] 上の世界のアモールで、子供のイリアが何か埋めた場所を、下の世界で調べると？

(1) 「はやぶさリング」がある

(2) 「とがったホネ」がある

(3) 「ほしふるうでわ」がある

(4) 「うまのふん」がある


[第3問] レイドック（上）で井戸のそばのおばさんが落とした指輪を届けると、もらえるお礼は？

(1) ちからのたね

(2) すばやさのたね

(3) いのちのきのみ

(4) ふしぎなきのみ


[第4問] ロンガデセオでパフパフしてもらうとどうなる？

(1) いつのまにか相手が男になっている

(2) 小さなメダルが手に入る

(3) 体力が下がる

(4) かっこよさがあがる


[第5問] ベストドレッサーコンテストの最高ランクの優勝賞品は？

(1) 幸せの帽子

(2) 光のドレス

(3) 賢者の石

(4) プラチナヘッド


[第6問] スライム格闘場のオーナーの名前は？

(1) スラッグ

(2) スラーム

(3) スラバー

(4) スラッジ


[第7問] スライム格闘場Ｈクラスの対戦相手として、出てこないモンスターはどれ？

(1) ラストテンツク

(2) うごくせきぞう

(3) ランドアーマー

(4) エビルワンド


[第8問] 「ドラゴンの悟り」を売っているのはどこ？

(1) レイドック（上）の地下

(2) ホルコッタ西のほこら

(3) フォーン城

(4) デスコッド


[第9問] 裏ダンジョンに行くための条件は「全職業の熟練度が？？以上」

(1) ４

(2) ５

(3) ６

(4) ７


[第10問] ダークドレアムを？？ターン以内に倒せば、ラスボスをかわりに倒してくれる

(1) １５

(2) ２０

(3) ２２

(4) ２４

