●ボードゲーム　【バックギャモン】「歴史編」vol.1


競技者人口は世界で３億人と言われるバックギャモン。
しかし日本ではマイナーゲーム。「歴史編」から始めます。


[第1問] バックギャモンの原型は古代エジプトによって遊ばれた何と言う遊戯？

(1) バッコー

(2) セネト

(3) バックラー

(4) バギャ


[第2問] バックギャモンはローマ帝国では改良が加えられて何と呼ばれた？

(1) タブラ

(2) ローマン

(3) ダイス

(4) ゾーン


[第3問] 何世紀頃からイングランドなどでバックギャモンの呼称で呼ばれる例が出現するようになったか？


(1) １１世紀

(2) １３世紀

(3) １５世紀

(4) １７世紀


[第4問] バックギャモンはギリシア・ローマの影響を受けて、中近東方面で何と言う名前で広がっていったか？

(1) ナック

(2) ナルド

(3) ナルト

(4) ナニ


[第5問] 中国でも6世紀には双陸（シュアンルー）あるいは□□の名前で広がった。


(1) 双六

(2) 陸博

(3) 博打

(4) 打石

