●Rewrite検定 ムズッ！！

KeyのRewriteからの問題です｡難しいかもしれませんね？頑張ってください｡


[第1問] 吉野が実際に使う技はどれ？なお､天王寺の妄想のなかで吉野が使った技は､含まない｡

(1) 気合ナックル

(2) シャイニングフィスト

(3) スラッグショット

(4) マッハナックル


[第2問] 瑚太郎くんが三週間で全滅させたのはリトルフォレスト何号か？

(1) 27

(2) 39

(3) 42

(4) 51


[第3問] 次のうち静流の妄想キャラじゃないものは？

(1) ノーメン

(2) サンマヘッド

(3) キリンさん

(4) スクモン


[第4問] 小鳥がちびもすにだす命令のうち実際にあるものは？次から、選べ

(1) ちびもす、ひとしきりがんばる

(2) ちびもす、ちょっとがんばる

(3) ちびもす、かれいにがんばる

(4) ちびもす、ぐんま拳


[第5問] どきどき♪メイドパーティは、誰ルートにでてくるちょっと大人のギャルゲーか？

(1) ちはや

(2) 小鳥

(3) ルチア

(4) 静流


[第6問] Rewriteの2ndOPサイキックラバーのRewriteなかでみんながカメラに向かっているなか、朱音はガンプラを作っていました。さて、なにを作っていたでしょうか？

(1) ガンダム

(2) ジム

(3) ドム

(4) ザク


[第7問] ラジオRewrite月刊テラ風祭学院支局からの問題、第18回でぎっくり腰になりかけていた森田さんは天王寺瑚太郎役の何と言ったでしょうか？

(1) ぎっくり腰太郎

(2) ぎっくりなりそう

(3) ぎっくり腰そう

(4) 天王寺ぎっくり


[第8問] 難問、MemoryのMonsterのなかでいないものはどれか？

(1) 鰐型

(2) ギフトベアー

(3) 地龍

(4) 黄金鳥


[第9問] サービス問題。ちはやは、I'm home. をなんと訳したか？

(1) わたしは、家に帰ります。

(2) わたしは、家です。

(3) 私は、ホメです。

(4) 私は、ホムです


[第10問] 10月4日モッピーであるところをクリックすると小学生の娘さんと結婚しそうになります。さて、何家でしょうか？

(1) 吉野家

(2) 鈴木家

(3) 安藤家

(4) 田村家

