●MOTHER3検定（難問）　その1

この間は作る暇がなかったので問題数が少なかったのですが、今回は多め。


[第1問] タツマイリ村の住民でどくけしなどを作っているイサクという人物は名前はどこからとった？

(1) 旧約聖書

(2) 悪童日記

(3) 建物の柵

(4) どれでもない


[第2問] 朝起きて鏡を見ると何と出る？

(1) なかなかのおとこまえだ。

(2) かっこいい。

(3) いつものねぐせだ。

(4) わるくない。


[第3問] うらカンポーの効果は？

(1) 戦闘不能を回復＝カムバック、異常状態回復

(2) ヒーリングαと同じ

(3) PP回復

(4) HP回復


[第4問] リダはどこで鐘をついていた？

(1) ニューポークシティ

(2) クロスロード

(3) デス砂漠

(4) タツマイリ村


[第5問] マジプシーたちの名付けの親は？

(1) 大貫妙子

(2) 糸井重里

(3) 岩崎正明

(4) 酒井省吾


[第6問] エントツ&amp;アチャトの名前の由来は？

(1) 昔の芸人

(2) エントツと熱いもの

(3) 適当

(4) どれでもない


[第7問] ディフェンス+30最大PP+30。ディフェンス+20最大PP+30炎氷雷耐性。さて、このアイテムは？

(1) ①あかいぼうし②すっごいマント

(2) ①すっごいリング②ドスンのおまもり

(3) ①すっごいかんむり②いてのうでわ

(4) ①すっごいリング②すっごいマント


[第8問] PKグラウンドの範囲とその効果は？

(1) ①敵全体②へん･しびれ･戦闘不能

(2) ①敵一体②大ダメージをあたえる｡どんな敵にもよく効く

(3) ①敵全体②サイコシールド貫通、まれに転倒

(4) ①敵ランダム②サイコシールド貫通、まれにしびれ


[第9問] ジェネッタくんの必殺技はある装備品で軽減することができます。その必殺技と装備品は？

(1) ①デスチャージクラッシュ②フランクリンバッヂ

(2) ①ディスチャージクラッシュ②ゴムガッパ

(3) ①ディスチャージスラッシュ②サンダーペンダント

(4) ①ディスチャージクラッシュ②フランクリンバッヂ


[第10問] どせいだにのはしごごっこの最大人数は？

(1) 4人

(2) 5人

(3) 6人

(4) そもそもそんなことしない

