●ﾃﾞｨｼﾃﾞｨｱ検定ｽｺｰﾙ編

ﾃﾞｨｼﾃﾞｨｱﾌｧｲﾅﾙﾌｧﾝﾀｼﾞｰの検定ｼﾘｰｽﾞです｡
大変遅くなりました！
今回はｽｺｰﾙ！


[第1問] ディシディアデュオデシムの第７章でスコールがバッツから渡された物とは？

(1) ポーション

(2) のばら

(3) チョコボの羽

(4) ハイポーション


[第2問] ディシディアデュオデシムの第７章でＷＯＬをスコールは心の中でなんと言ったでしょう？

(1) まぶしいやつ

(2) 光の戦士

(3) ブレないやつ


[第3問] 次の技はスコールのＨＰ攻撃である。
次のなかで仲間外れはどれ？

(1) エアリアルサークル

(2) フェイテッドサークル

(3) リボルバードライヴ

(4) ブラスティングゾーン


[第4問] 次のうち、かかと落としの技はどれ？

(1) アッパーブルース

(2) ヒールクラッシュ

(3) ソリッドバレル

(4) ビートファング


[第5問] スコールのイミテーション名はどれ？

(1) かりそめの兵士

(2) かりそめの獅子

(3) たわむれの獅子

(4) うつろいの勇者

