●★こっち向いてBaby★歌詞検定

この検定はryoさんのﾈ申曲､こっち向いてBabyの歌詞についての検定です☆たくさんの方々に受けていただけると嬉しいです♪ｺﾒなどぜひともよろしくね♪


[第1問] (？)ってばっかでなんか損してる気がするだってそうじゃん言えないようなｺﾄがしたいのあんなｺﾄとか…(？)どんなｺﾄ？

(1) 怖が､えっ？

(2) 意地張､もう！

(3) 強が､やだ

(4) 争､何？


[第2問] ｵﾄｺって(？)ばっかね変なｺﾄ今考えたでしょ ｷﾐって嘘がつけない(？)だいぶ顔にでてるAre you ok？

(1) ﾊﾞカ､ﾀｲﾌﾟ

(2) 変態､感じ

(3) それ､性格

(4) ｽｹﾍﾞ､雰囲気


[第3問] 情状酌量の余地ﾅｼまるでお話にならないわ (？)なロマン語る前に現状分析できてる？あぁ！ｷﾐって(？)

(1) 広大､不器用

(2) 壮大､鈍感

(3) 寛大､天然


[第4問] ねぇちゃんとこっち向いてBabyNOなんて言わせないわ(？)ﾓｰﾄﾞなんだから思わず見とれちゃう(？)唇で

(1) 全力､ぷにぷに

(2) 本気､ぷるぷる

(3) 戦闘､つやつや

(4) 強気､ぷよぷよ


[第5問] ｷﾐを虜にするの今日こそ勝負なんです(？)ってばっかでなんか正直になれないしょうがないじゃん後ろから(？)てしてほしいの

(1) 怖が､ぎゅうっ

(2) 争､ぐっ

(3) 強が､きゅっ

(4) 意地張､ぎゅっ


[第6問] (？)えへへってちょっと待って焦らせないでまったくこうゆうのってもっと(？)とかあるでしょこんな気持ちにさせておいて

(1) どうかな、雰囲気

(2) なんちゃって、雰囲気

(3) そうかな､ムード

(4) なんてね､ムード


[第7問] (？)なんて許さないもう責任とって！ねぇちょっとこっち向いてBabyNOなんて言わせないわ(？)にさせるんだから

(1) ほっとかれる､その気

(2) 無視する、本気


[第8問] 思わず拝みたくなるような(？)でｷﾐを虜にするのﾃﾞﾚﾃﾞﾚしないでよ言葉じゃ伝わんない大きな大きな(？)どうしよう胸が

(1) 太もも、夢の世界

(2) 御手､私の愛

(3) おみ足､ハートマーク


[第9問] きゅんとして何にも考えらんないうぅ(？)ってやつはねぇもっとこっち向いてBaby何度も(？)で私もう知らないんだから

(1) ｷﾐ､言わせない

(2) 愛、怒らせない

(3) 恋、泣かせない


[第10問] 思わず構いちゃいたくなるようなのもいいかなえっと今のは(？)何よもう文句あんの

(1) 忘れて

(2) 取り消し

(3) ﾅｼﾅｼ

