●AKB48 片山陽加　関連人物検定

AKB48のはーちゃんこと片山陽加さんと関連する人物名に関する検定です。
はーちゃん推しなら当然全問正解


[第1問] はーちゃんは2013年に何回かAKB研究生公演に出演しているが、2013年5月19日の昼夜2回公演にいっしょに出演した正規メンバーは？

(1) 柏木由紀

(2) 大家志津香

(3) 菊地あやか

(4) 伊豆田莉奈


[第2問] それでは、その時にはーちゃんと純情主義をやったのは平田梨奈と誰？

(1) 柏木由紀

(2) 村山彩希

(3) 相笠萌

(4) 茂木忍


[第3問] はーちゃんとは映画出演をきっかけに親しくなり、プライベートでも交流が深く、はーちゃんをめちゃくちゃにしたいと豪語するオタク系グラビアアイドルは？

(1) 衛藤美彩

(2) 倉岡生夏

(3) 浅倉結希

(4) 南明奈


[第4問] 2013年11月にCSの番組で、はーちゃんがAKB観光大使として(ひとつまえの問題の答えの女性の出身地)秋田に訪れた時に一緒だったAKBメンバーは？

(1) 菊地あやか

(2) 阿部マリア

(3) 加藤玲奈

(4) 竹内美宥


[第5問] それでは、秋田を訪れた時に、はーちゃんが地元の人にあるメンバーに間違えられた。それは誰？

(1) 小嶋菜月

(2) 小嶋陽菜

(3) 柏木由紀

(4) 野中美郷


[第6問] 2013年11月のチームB公演において、自分が見た目で勝っていると思うメンバーとしてはーちゃんの名前を挙げたメンバーは？

(1) 大家志津香

(2) 大場美奈

(3) 佐々木優佳里

(4) 大森美優


[第7問] 2013年の7月28日に突然プライベートではーちゃんと沖縄にダイビングに出かけたメンバーは？

(1) 大家志津香

(2) 大場美奈

(3) 柏木由紀

(4) 秋元才加


[第8問] 2013年5月14日のチームB公演でのはーちゃんの生誕祭で仕切りとして多田愛佳の手紙を読んだメンバーは？

(1) 多田愛佳

(2) 梅田彩佳

(3) 田名部生来

(4) 柏木由紀


[第9問] 2013年11月のチームB公演のMCの「富士山にいっしょに登るなら誰と」という問いに対して唯一はーちゃんと回答したメンバーは？

(1) 柏木由紀

(2) 梅田彩佳

(3) 田名部生来

(4) 市川美織


[第10問] 2013年10月22日のNOTTV「AKB48のあんた誰」の自分相関図ではーちゃんが「もてあそばれたい」と評したメンバーは？

(1) 小嶋菜月

(2) 加藤玲奈

(3) 野中美郷

(4) 柏木由紀

