●BUMP OF CHICKEN検定

BUMPのシングル・アルバムからのクイズです。


[第1問] 「プラネタリウム」は、通算何枚目のシングルでしょうか?

(1) 9枚目

(2) 10枚目

(3) 11枚目

(4) 12枚目


[第2問] 「ハルジオン」は、通算何枚目のシングルでしょうか?

(1) 2枚目

(2) 3枚目

(3) 4枚目

(4) 5枚目


[第3問] 「ユグドラシル」は、通算何枚目のアルバムでしょうか?

(1) 1枚目

(2) 2枚目

(3) 3枚目

(4) 4枚目


[第4問] 「fire sign」は、アルバム「ユグドラシル」の何曲目に収録されているでしょうか?

(1) 5曲目

(2) 8曲目

(3) 11曲目

(4) 13曲目


[第5問] BUMP OF CHICKENの3rdシングルはどれでしょうか?

(1) 天体観測

(2) ダイヤモンド

(3) スノースマイル

(4) オンリーロンリーグローリー


[第6問] 「睡眠時間」は何のカップリング曲でしょうか?

(1) スノースマイル

(2) オンリーロンリーグローリー

(3) アルエ

(4) 車輪の唄


[第7問] 映画「ALWAYS 続・三丁目の夕日」の主題歌はどれでしょうか?

(1) 花の名

(2) メーデー

(3) 星の鳥

(4) 涙のふるさと


[第8問] アルバム「orbital period」の発売日はいつでしょうか?

(1) 11月19日

(2) 12月12日

(3) 12月19日

(4) 12月22日


[第9問] アルバム「jupiter」の発売日はいつでしょうか?

(1) 1月20日

(2) 2月20日

(3) 3月20日

(4) 4月20日


[第10問] アルバム「present from you」はBUMP OF CHICKEN初の何のアルバムでしょうか?

(1) ビデオクリップ集

(2) カップリング集

(3) 藤原基央のソロアルバム

(4) 他アーティストとのコラボアルバム

