●Miss Saigon

ミュージカル『Miss Saigon』の検定です。楽しんでTRYしてみてくだされ～


[第1問] ミュージカル『Miss・Saigon』の初演が行われた都市は?

(1) 博多

(2) ロンドン

(3) NY

(4) 日比谷


[第2問] ロンドンの何と言うトコロで初演が行われたのでしょう?

(1) 国立ロイヤルシアター

(2) ドルリーレーン・シアター

(3) グリーンパーク

(4) ホテル「リッツ」


[第3問] 日本初演はいつ行われましたか?

(1) 1989年

(2) 1992年

(3) 1978年

(4) 2004年


[第4問] キム役の本田美奈子が亡くなった病名は?

(1) 結核

(2) 胃がん

(3) 肺炎

(4) 急性白血病


[第5問] Miss Saigon は、何の戦争の話ですか?

(1) 親子戦争

(2) 湾岸戦争

(3) ベトナム戦争

(4) 第二次世界大戦


[第7問] キムとクリスの息子の名前は?

(1) タム

(2) クム

(3) クリストファー・スコット

(4) トゥイ


[第8問] この検定の作者、chisakingはMiss Saigonを何回観に行ったでしょう?

(1) 3回

(2) 26回

(3) 23回

(4) 0回


[第9問] サイゴンは陥落した後、なんと言う名前になりましたか?

(1) ホーチミン

(2) ビルマ

(3) バンコク

(4) ミャンマー


[第10問] Miss Saigon と同じ作曲家が書いたミュージカルとは?

(1) レ・ミゼラブル

(2) キャッツ

(3) キャバレー

(4) 蜘蛛女のキス

