●GReeeeN難易度高検定

GReeeeNの難易度が高い問題です｡
解けたらﾌｧﾝ認定!!!!
１０問あるので頑張ってください!!!!


[第1問] ﾒﾝﾊﾞｰの中で唯一O型なのは??

(1) HIDE

(2) 92

(3) navi

(4) SOH


[第2問] 中高生時代に高知県でﾊﾞﾝﾄﾞを組んでいたﾒﾝﾊﾞｰは??

(1) navi

(2) HIDE

(3) SOH

(4) 92


[第3問] GReeeeNがｲﾝﾃﾞｨｰｽﾞ時代に限定ﾘﾘｰｽしたﾐﾆｱﾙﾊﾞﾑ「greeeen」の5曲目にはいっている曲名は??

(1) 声

(2) hi G/K low

(3) ﾐﾄﾞﾘ

(4) ﾍﾟｱﾚﾝﾂ


[第4問] GReeeeNの第二作目にﾘﾘｰｽしようとしたﾐﾆｱﾙﾊﾞﾑはﾚｺｰﾄﾞ会社との契約上の都合により販売中止になってしまった。さて、そのﾐﾆｱﾙﾊﾞﾑのﾀｲﾄﾙは??

(1) COLOR(たくさんのものを混ぜあわして新しい曲をつくるという意味)

(2) GREEEEN(←一枚目のgreeeenより大きくなったという意味)

(3) TWOTH(←歯のTOOTHと二枚目のTWOをかけたﾀｲﾄﾙ)

(4) ﾚｲﾝﾎﾞｰ(七色の音楽を届けたいという意味)


[第5問] 唯一GReeeeNの曲の中でﾌﾟﾛﾃﾞｭ-ｻ-のJINが作曲した曲はどれ??

(1) 道(1stｼﾝｸﾞﾙ)

(2) 声(ｲﾝﾃﾞｨｰｽﾞ)

(3) 絆(1stｼﾝｸﾞﾙｶｯﾌﾟﾘﾝｸﾞ)

(4) DREAM(2ndｼﾝｸﾞﾙｶｯﾌﾟﾘﾝｸﾞ)


[第6問] GReeeeNの曲で一部音がずれて声と合わなくなっている曲がある。それの曲とはどれ??

(1) 子犬(1stｱﾙﾊﾞﾑ)

(2) ﾊﾟﾘﾋﾟﾎﾟ(1stｱﾙﾊﾞﾑ)

(3) 東南西北～全員集合!!!!～(6thｼﾝｸﾞﾙｶｯﾌﾟﾘﾝｸﾞ)

(4) DREAM(2ndｼﾝｸﾞﾙｶｯﾌﾟﾘﾝｸﾞ)


[第7問] HIDEについて。国試前の一年間一日の平均睡眠時間は何時間だった??

(1) 1～3時間

(2) 2～4時間

(3) 5～7時間


[第8問] SOHについて。SOHが好きなのは??

(1) ｺｺｱとｻｯｶｰ

(2) 長崎ちゃんぽんと野球

(3) バレー

(4) ﾊﾞｽｹとタコ焼き


[第9問] naviについて。自身のﾌﾞﾛｸﾞで自分のことをなんと表記している??

(1) ORE

(2) BOKU

(3) WATASHI

(4) UCHI


[第10問] 92について。お母さんは何の先生??

(1) ﾋﾟｱﾉ

(2) ﾊﾞﾄﾝ

(3) ﾊﾞｲｵﾘﾝ

(4) ﾎﾞｲｽﾄﾚｰﾆﾝｸﾞ

