●☆ONE OK ROCK☆

無かったので作りましたww
暇潰しにどぉぞ(･ω･)


[第1問] 次の中でｷﾞﾀｰから始まる曲ゎどれ??

(1) 恋ﾉｱｲﾎﾞｳ心ﾉｸﾋﾟﾄﾞ

(2) じぶんROCK

(3) ｹﾑﾘ

(4) 独り言ﾛﾝﾘｰﾅ


[第2問] Takaが友人の為に作ったとされる曲ゎ??

(1) 必然メーカー

(2) ﾘﾝｸﾞﾜﾝﾃﾞﾙﾝｸﾞ

(3) カゲロウ

(4) Wherever you are


[第3問] この中で仲間はずれなのゎ??

(1) 20 years old

(2) 努努

(3) 後悔役に立たず

(4) Lujo


[第4問] この中で仲間はずれなのゎ??

(1) 恋ﾉｱｲﾎﾞｳ心ﾉｸﾋﾟﾄﾞ

(2) 内秘心書

(3) 必然メーカー

(4) 完全感覚Dreamer


[第5問] 名盤｢感情ｴﾌｪｸﾄ｣、収録曲数ゎ…

(1) 11曲

(2) 12曲

(3) 13曲

(4) 14曲


[第6問] Taka:｢素晴らしい!!｣…と言えば??

(1) ｹﾑﾘ

(2) ｶｹﾞﾛｳ

(3) Crazy Botch

(4) ｱﾀﾞﾙﾄｽｰﾂ


[第7問] [PV]完全感覚DreamerでTakaがｼｬｯﾀｰを降ろすのゎ??

(1) 間奏前

(2) 間奏後


[第8問] [PV]じぶんROCKのｱﾆﾒｰｼｮﾝ。４人の最後を歩いてる奴ゎ…

(1) ｽｷﾝﾍｯﾄﾞ

(2) ﾉｰｽﾘｰﾌﾞ

(3) 口があいてる

(4) 腕にﾀﾄｩｰが入ってる


[第9問] [PV]完全感覚Dreamer､じぶんROCK､Liar､恋ﾉｱｲﾎﾞｳ心ﾉｸﾋﾟﾄﾞ…共通点ゎ??

(1) Takaゎ黒のｼｬﾂでしょぉ!!

(2) 日本詞から始まってる!!

(3) 歌い始めゎ右手にﾏｲｸ!!

(4) 歌い始めゎ手のひらを突き出したあのﾎﾟｰｽﾞから!!


[第10問] 最後に…君が好きだった音楽ゎ??

(1) ﾗﾃﾝ

(2) ｼﾞｬｽﾞ

(3) なんといってもONE OK ROCK!!

(4) ﾎﾞｻﾉﾊﾞ

