●ﾘｱﾙﾀｲﾑｼﾝｶﾞｰｿﾝｸﾞﾗｲﾀｰ･高橋優検定

ﾘｱﾙﾀｲﾑｼﾝｶﾞｰｿﾝｸﾞﾗｲﾀｰの高橋優さんの検定です!!
高橋優さんの歌はあのﾄﾞﾗﾏの主題歌にも大抜擢されましたね!


[第1問] 高橋優､初のｱﾙﾊﾞﾑ名は?

(1) 無言の暴力

(2) Sepia

(3) 僕らの平成ﾛｯｸﾝﾛｰﾙ

(4) ｱﾙﾊﾞﾑはまだ出していない


[第2問] 高橋優のﾒｼﾞｬｰﾃﾞﾋﾞｭｰｼﾝｸﾞﾙCDの名称は?

(1) こどものうた

(2) おとなのうた

(3) 友へ

(4) 素晴らしき日常


[第3問] では､このｼﾝｸﾞﾙCDのｶｯﾌﾟﾘﾝｸﾞ曲は?

(1) 8月6日

(2) 泣き虫空に可愛い傘

(3) こどものうた

(4) 少年であれ


[第4問] 素晴らしき日常という曲はとある番組のｴﾝﾃﾞｨﾝｸﾞﾃｰﾏに使用されていた｡何という番組か?

(1) お願いﾗﾝｷﾝｸﾞ

(2) ｼﾙｼﾙﾐｼﾙ

(3) ﾚｯﾄﾞｶｰﾍﾟｯﾄ

(4) あらびき団


[第5問] 高橋優の3rdアルバム『僕らの平成ロックンロール』のプロデューサーは?

(1) 秋元康

(2) 小室哲哉

(3) つんく

(4) 箭内道彦


[第6問] 高橋優のシングルがドラマQ10の主題歌に大抜擢。そのシングル名は?

(1) こどものうた

(2) 福笑い

(3) ほんとのきもち

(4) シーユーアゲイン


[第7問] 高橋優のシングルは東京メトロのCMソングにもなっていました。そのシングル名は?

(1) 福笑い

(2) シーユーアゲイン

(3) 友へ

(4) 泣き虫空に可愛い傘


[第8問] 新ｼﾝｸﾞﾙ『現実という名の怪物と戦う者たち』が､とあるｱﾆﾒのエンディングテーマに決定。そのアニメとは?

(1) NARUTO

(2) バクマン。

(3) メジャー

(4) 銀魂

