●邦楽検定（曲名）

JPOPの曲名を問う検定です。どれだけJPOPを知っているでしょうか？


[第1問] 日本歴代シングル売り上げランキング１位は「およげ！たいやきくん」。では２位は？

(1) TSUNAMI

(2) SAY　YES

(3) だんご三兄弟

(4) 女のみち


[第2問] スピッツ自身最大のヒット曲は？

(1) チェリー

(2) 空も飛べるはず

(3) スパイダー

(4) ロビンソン


[第3問] 福山雅治がカバーしたことでも知られる、泉谷しげるが1972年に発表したシングルは？

(1) 春夏秋冬

(2) 春のからっ風

(3) 眠れない夜

(4) 裸の街


[第4問] ゆずをプロデュースしたことでも知られる寺岡呼人と、Mr.Childrenの桜井和寿が共同制作した曲は？

(1) 君がいた夏

(2) 星になれたら

(3) CROSS　ROAD

(4) 抱きしめたい


[第5問] くるりが2009年12月25日に松任谷由実と、GAP 40th ANNIVERSARY キャンペーンコラボレーションソングとして発表した曲は？

(1) 青い空

(2) JUBILEE

(3) シャツを洗えば

(4) 奇跡


[第6問] TRICERATOPSの1stシングルは？

(1) Raspberry

(2) 彼女のシニヨン

(3) ロケットに乗って

(4) トランスフォーマー


[第7問] 倉橋ヨエコのアルバム『ただいま』に収録されている、クラムボンのミトがくちぶえで参加している曲は？

(1) 損と嘘

(2) 石鹸ガール

(3) 赤い靴

(4) 白い旗


[第8問] 映画『ALWAYS 続・三丁目の夕日』の主題歌である、BUMP　OF　CHICKENのメジャー12枚目、通算13作目のシングルは？

(1) 涙のふるさと

(2) 天体観測

(3) 花の名

(4) メーデー


[第9問] アニメ「こちら葛飾区亀有公園前派出所」第1期エンディングテーマになった、ホフディランの１stシングルは？

(1) 欲望

(2) 恋はいつも幻のように

(3) マフラーをよろしく

(4) スマイル


[第10問] 87万枚の売り上げた、チューリップ最大のヒット曲は？

(1) 青春の影

(2) 虹とスニーカーの頃

(3) サボテンの花

(4) 心の旅

