●ﾚﾐｵﾛﾒﾝ風のｸﾛﾏ検定

ﾚﾐｵﾛﾒﾝ風のｸﾛﾏ検定だょ(^3^)/
ﾌｧﾝならわかって!


[第1問] 一曲目｢翼｣の唄いだしは？

(1) Ah人生は旅だといわれる

(2) Ah戦いに身を置く人よ

(3) Ah伸るか反るかの境目に


[第2問] 二曲目｢オーケストラ｣のなかの、一番のサビは、｢星のパラダイスオーケストラ※※※※｣でしょう？

(1) 奏でていかないかい

(2) 聴こえているかい

(3) 奏でてくれないかい


[第3問] ｢透明｣の唄いだし、曖昧なニュアンスで君と※※※※する｣でしょう？

(1) コスプレ

(2) コレクト

(3) コネクト


[第4問] 風のクロマは何年何月何日に発売されたでしょう？

(1) 2008年10月20日

(2) 2008年10月29日

(3) 2008年10月16日


[第5問] 風のｸﾛﾏの前に発売されたｱﾙﾊﾞﾑは？

(1) HORIZON

(2) ether

(3) Flash and gleam


[第6問] 風のクロマの10曲目は？

(1) もっと遠くへ

(2) 透明

(3) オーケストラ

