●ﾊﾞﾌﾞｰﾝﾏﾝ検定

関ｼﾞｬﾆ∞のﾄﾞｯｷﾘから誕生したﾊﾞﾌﾞｰﾝﾏﾝ!!貴方はどの位ﾊﾞﾌﾞｰﾝﾏﾝの事理解してますか？


[第1問] このﾄﾞｯｷﾘの発案者は？

(1) 横山裕

(2) 渋谷すばる

(3) 安田章大

(4) 丸山隆平


[第2問] ﾄﾞｯｷﾘの会議に遅刻して来た大倉。遅刻した理由は？

(1) 寝坊した。

(2) 前の仕事が押した。

(3) 道が混んでた。

(4) 仕事を忘れてた。


[第3問] ﾄﾞｯｷﾘの内容について説明する横山。そのﾄﾞｯｷﾘの内容とは？

(1) ｳｿ映画ﾄﾞｯｷﾘ

(2) ｳｿ司会ﾄﾞｯｷﾘ

(3) ｳｿﾊﾞﾗｴﾃｨｰﾄﾞｯｷﾘ

(4) ｳｿCMﾄﾞｯｷﾘ


[第4問] ﾏﾈｰｼﾞｬｰからCMｵﾌｧｰ(嘘)について耳打ちされた村上｡その時何してた？

(1) ﾊﾞﾅﾅ食べてた

(2) ｷﾞﾀｰ弾いてた

(3) 丸と話してた

(4) ｹﾞｰﾑしてた


[第5問] それぞれ役割分担をしたｴｲﾄ麺。では丸山の役職はどれ？

(1) 大倉とﾗｼﾞｵを聴く

(2) 錦戸とﾀﾞﾝｽﾚｯｽﾝを直撃

(3) 安田と衣装ﾃﾞｻﾞｲﾝ

(4) すばるとﾚｺｰﾃﾞｨﾝｸﾞを直撃


[第6問] ｴｲﾄの日に初打ち合わせをした村上。この中で村上が一番得意なものはどれ？

(1) 歌

(2) ﾀﾞﾝｽ

(3) お笑い

(4) 演技


[第7問] 無事打ち合わせ終了。横山、すばるが思わず出した一言は？

(1) 意見出しすぎ

(2) これ、おもろいなぁ!!

(3) 目が綺麗

(4) ﾊﾞﾚなくて良かった


[第8問] いよいよCM撮影ｽﾀｰﾄ!!このCMのｺﾝｾﾌﾟﾄはなに？

(1) 前半格好いい村上さん､後半おちゃめな村上さん

(2) 前半素敵な村上さん､後半可笑しな村上さん

(3) 前半ｲｹてるな村上さん､後半ｾｸｼｰな村上さん

(4) 前半お洒落村上さん､後半不思議な村上さん


[第9問] CM撮影中、村上にﾑﾁｬﾌﾞﾘしたのは誰のﾓﾉﾏﾈ？

(1) 島田紳助

(2) ﾋﾞｰﾄたけし

(3) 志村けん

(4) 明石家さんま


[第10問] ｶｳﾝﾄﾀﾞｳﾝﾗｲﾌﾞでBabunを披露した村上。最後に一言なんて言った？

(1) ｴｲﾄﾚﾝｼﾞｬｰには負けへんで!!

(2) 俺だけ裸!!

(3) 来年もよろしく!!

(4) ﾊﾟｰｰｰﾝ!!

