●関ｼﾞｬﾆ∞大好き検定PART3

暇人がまた作ってしまいました★挑戦してみて下さいヾ(^▽^)ﾉ


[第1問] 関ジャニ∞がHEYHEYHEY初登場で浜ちゃんの隣に座ったのは?

(1) 横山裕

(2) 村上信吾

(3) 渋谷すばる


[第2問] ｲｯﾂﾏｲｿｳﾙの時HEYHEYHEYでeitoの楽屋に勝手に入り鼻毛きりをﾌﾞﾗﾏﾖ吉田に使われたのは?

(1) 錦戸

(2) 村上

(3) 大倉


[第3問] この回でまるで弟の財布のようだと言われていたのは?

(1) 渋谷

(2) 安田

(3) 横山


[第4問] ﾜｯﾊｯﾊｰでHEYHEYHEYスペシャルに出たときに白のﾃﾝｶﾞﾛﾝﾊｯﾄを被っていたのは?

(1) 大倉

(2) 丸山

(3) 錦戸


[第5問] この時に曲を作ってとお願いしたｱｰﾃｨｽﾄは?

(1) 郷ひろみ

(2) 徳永英明

(3) コブクロ


[第6問] この回で途中でいなくなったメンバーは?

(1) 大倉

(2) 錦戸

(3) 村上


[第7問] アルバム｢PUZZLE｣リリースでHEYHEYHEYに出演した際帽子を被っていたメンバーは?

(1) 大倉&amp;安田

(2) 錦戸&amp;渋谷

(3) 大倉&amp;錦戸

(4) 安田&amp;渋谷


[第8問] この時ﾀﾞｳﾝﾀｳﾝのまっちゃんに言われた事は?

(1) なすびって言うななすって言え

(2) ｸﾞｯﾁｮｷﾊﾟｰってなんやねんｸﾞｰﾁｮｷﾊﾟｰって言え

(3) お前はあほ王か


[第9問] この時に歌った歌はなんでしょう?

(1) 渇いた花

(2) パズル

(3) ブリュレ

(4) アカイシンキロウ


[第10問] この歌を歌い終わった後ピースしたのは?

(1) 丸ちゃん

(2) ヤス

(3) 横ちょ

(4) 亮ちゃん

