●スクラップティーチャー検定(6)

今回は全て吉田栄太郎君に関係のある内容です。さて、何問できるでしょう?


[第1問] 吉田栄太郎君に関する次の記述のうち、“誤っているもの”はどれでしょう?

(1) 吉田君は八中のランキングで「笑顔がかわいい人」の1位だった。

(2) 吉田君は杉先生からベレー帽をプレゼントされた。

(3) 吉田君はフォークダンスで大崎沙莉とパートナーを組んだ。

(4) 吉田君は人工消雨をする時に黄色い飛行機に乗った。


[第2問] 吉田君は、髪を2回ちょんまげにしました。最初は倉庫の中で不良高校生たちと戦ったときですが、2回目はどんなときだったでしょう?

(1) 漫画フェスタの会場に漫画を届けたとき。

(2) 港で暴走族グループと戦ったとき。

(3) 豪徳寺先生を懲らしめたとき。

(4) 滝先生に作法のテストをしたとき。


[第3問] 次のうち、吉田君の言ったセリフとして“当てはまらないもの”はどれでしょう?

(1) 大きくなぁれ!

(2) ダメ教師!

(3) きさまかぁ!

(4) 悲しいよ…


[第4問] 第2話で、屋上で有機肥料を作っていた吉田君は、滝先生から(滝先生の)胸を触っていいから豪徳寺先生をやっつけてくれと頼まれましたが、その時の吉田君のリアクションは?

(1) 笑いながら滝先生の胸を触った。

(2) 無視して肥料づくりを続けた。

(3) 「やめて下さい」と言ってその場から逃げた。

(4) 無言でその場から逃げた。


[第5問] 第5話で、吉田君に漫画研究会の手伝いを依頼した品川さんたちは、その理由を本人に向かって色々と言っていましたが、次の4つの中で“言っていない理由”はどれでしょう?

(1) (吉田君は)絵が上手いから。

(2) (吉田君は)野菜を作れるから。

(3) (吉田君は)性格がいいから。

(4) (吉田君は)バック転ができるから。

