●関西ｼﾞｬﾆｰｽﾞJr.2

関ｼﾞｭの誕生日は？意外に知らないみんなの誕生日(^-^)！part2


[第1問] 中間淳太の誕生日は？

(1) 1月25日

(2) 2月11日

(3) 10月21日

(4) 5月22日


[第2問] 菊岡正展の誕生日は？

(1) 4月29日

(2) 3月1日

(3) 11月19日

(4) 8月30日


[第3問] 千崎涼太の誕生日は？

(1) 5月13日

(2) 10月16日

(3) 3月12日

(4) 6月16日


[第4問] 楠本幸登の誕生日は？

(1) 1月10日

(2) 10月10日

(3) 2月21日

(4) 8月31日


[第5問] 岡崎拓弥の誕生日は？

(1) 8月9日

(2) 7月27日

(3) 3月28日

(4) 7月25日


[第6問] 新垣佑斗の誕生日は？

(1) 8月20日

(2) 5月18日

(3) 7月10日

(4) 12月26日


[第7問] 室龍太の誕生日は？

(1) 6月26日

(2) 5月25日

(3) 1月11日

(4) 8月28日


[第8問] 金内柊真の誕生日は？

(1) 4月4日

(2) 6月20日

(3) 1月20日

(4) 8月30日


[第9問] 藤井流星の誕生日は？

(1) 8月18日

(2) 6月18日

(3) 7月29日

(4) 2月18日


[第10問] 濱田崇裕の誕生日は？

(1) 11月12日

(2) 12月25日

(3) 10月8日

(4) 12月19日

