●bump.y

bump.yの上級者向けです


[第1問] 最年少の宮武祭が東京に来たばかりの頃お姉ちゃんの電話でお母さんに電話していたこととは何か

(1) 会いたい

(2) 帰りたい

(3) 寝れない

(4) お姉ちゃんといっしよやだ


[第2問] 桜庭ななみの女優になる前になりたかった職業は

(1) 幼稚園の先生

(2) 美容師

(3) プロのテニスプレイヤー

(4) 看護士


[第3問] 宮武美桜は桜島の家に何がいると言っているか

(1) 座敷わらし

(2) 羊

(3) 幽霊

(4) 悪霊


[第4問] 松山メアリが桜庭ななみに驚いたこととは

(1) ピアスの穴をあけた

(2) 手にネイルを始めた

(3) ななみがパジャマでレッスンに来た

(4) 料理を始めた


[第5問] 桜庭ななみと宮武祭が車のなかでやる遊びは

(1) 顔でじゃんけん

(2) たたいてかぶってジャンケンポン

(3) ゆびすま

(4) アルプスいちまんじゃく


[第6問] 寮でのななみとメアリの部屋の位置関係は

(1) ひとつ挟んだ隣

(2) 隣

(3) 右端と左端

(4) 上と下


[第7問] bump.yが最初にｲﾍﾞﾝﾄをやった場所は

(1) 青葉台劇場

(2) ｼｱﾀｰｸﾞﾘｰﾝ

(3) KDDIﾃﾞｻﾞｲﾆﾝｸﾞｽﾀｼﾞｵ

(4) SPACE107


[第8問] bump.yのデビューイベントで幽霊役をやったのは誰

(1) 高月彩良

(2) 松山メアリ

(3) 宮武祭

(4) 桜庭ななみ


[第9問] 松山メアリと桜庭ななみが共に共演したのは誰

(1) 向井理

(2) 山下リオ

(3) ゴルゴ松本

(4) 速水もこみち


[第10問] 高月彩良のお父さん誰に一番年が近い

(1) レッド吉田

(2) 上地ゆうすけ

(3) やべっち

(4) 向井理

