●雄ちゃんけんてー☆

雄ちゃんに関するけんてーです。
雄ちゃんファンなら分かって当然!?


[第1問] 雄ちゃんの誕生日はいつでしょう?

(1) 1978年4月18日

(2) 1979年4月18日

(3) 1980年4月18日

(4) 1981年4月18日


[第2問] 雄ちゃんの今使っている自転車の名前はなんでしょう?

(1) ジョニー1号

(2) ジョニー2号

(3) ジョニー3号

(4) ジョニー4号


[第3問] 雄ちゃんの大好きな花はなんでしょう?

(1) チューリップ

(2) コスモス

(3) ひまわり

(4) パンジー


[第4問] 雄ちゃんが大好きなマンガは?

(1) ドラゴンボール

(2) こち亀

(3) アラレちゃん


[第5問] ブログからの問題。雄ちゃんは、食事中にくしゃみをしてしまいました。
さて、鼻から出てきたものは?

(1) うどん

(2) スルメイカ

(3) にんじん


[第6問] 雄ちゃんの好きなケーキは?

(1) ティラミス

(2) チーズケーキ

(3) ショートケーキ

(4) モンブラン


[第7問] 雄ちゃんが歌う、「ひまわり」からの問題。
「青い空と雲 太陽を・・・」に続く歌詞は?

(1) つかまえるぞ

(2) つかまえんぞ

(3) おいかけるぞ

(4) おいかけんぞ


[第8問] 羞恥心の4ndシングル、「弱虫サンタ」。
さて、「後悔ばかりの弱虫サンタ 今でも君を・・・」
に続く歌詞は?

(1) 大好きさ

(2) 愛してる

(3) 守りたい


[第9問] 2008年、ヘキサゴンのクイズ合宿で「早押し告白クイズ」
の時に、雄ちゃんが告白した相手とは?

(1) ユッキーナ

(2) まいちゃん

(3) スザンヌ

(4) 安田美紗子


[第10問] あなたは雄ちゃんのことをどう思っていますか?

(1) め～っちゃダイスキ!

(2) そこそこスキかも。

(3) フツーかな・・・。

(4) う～ん、苦手かも・・・。

