●坂本真綾様々検定

問題を10問出題します｡その結果であなたがどれだけ坂本真綾さんのことが大好きかを調べます！


[第1問] 坂本真綾の原点とも言える児童劇団の名前は？

(1) 劇団ひまわり

(2) グループホームさくら

(3) グループこまどり

(4) こまどりグループ


[第2問] 坂本真綾は機動戦士ガンダムSEED DESTINYで二役で出演しています。ルナマリア・ホークとあと一人は誰？

(1) マユ・アスカ

(2) メイリン・ホーク

(3) マリュー・ラミアス

(4) シエル・ファントムファイヴ


[第3問] 坂本真綾が歌っているCMソングは次のうちどれ？

(1) 電撃ホビー

(2) au

(3) 上海万博

(4) のりたま


[第4問] 坂本真綾はどの教科で0点を取りましたか？

(1) 国語

(2) 数学

(3) 歴史

(4) 英語


[第5問] 坂本真綾はアイドルグループを組んでいました。そのグループ名は？

(1) whoops!

(2) whaops

(3) wwoops

(4) whoopps


[第6問] 貧乳で有名な真綾さん。レミゼで娼婦にかかせない谷間が出来なくて悩みました。そんな時、真綾さんはどうしたでしょうか？

(1) あきらめた

(2) パットをつめた

(3) 胸を寄せた

(4) 谷間を書いた


[第7問] 青いインコを飼っていたという真綾さん。何故インコを飼うことになったのでしょうか？

(1) ペットショップで見つけて、飼いたいと思った

(2) 祖母がくれた

(3) 祖父がくれた

(4) 仕事から帰宅した父親の頭に乗っていた


[第8問] 坂本真綾本人が語る自分の口癖とは？

(1) うける

(2) 〜みたいな

(3) 〜的な

(4) マジで


[第9問] 坂本真綾は自分のことを自称何と言っていますか？

(1) 乙女

(2) おっさん

(3) 男前

(4) しずちゃん


[第10問] 武道館ライブ『ギフト』の0331メロディーで廃止になった曲は？

(1) マメシバ

(2) 失礼カフェ

(3) birds

(4) アルカロイド

