●ｱﾆﾒの名言･検定

★名言（迷言）集★


[第1問] 「ピカチュウ、君に決めた!」

(1) サトシ

(2) シゲル

(3) カスミ

(4) ムサシ


[第2問] 「ＶＴＥＣにターボは邪道だと思うだろ?」

(1) 東堂会長

(2) スマイリー酒井

(3) 二宮大輝

(4) 舘智幸


[第3問] 「メイ、俺達は〇〇だ。〇〇はいつも一緒に居るもんだ。例え、迷惑をかけることがあってもな。」

(1) 仲間

(2) 友

(3) 家族

(4) チームメイト


[第4問] 「別れではなく、旅立ち。終わりではなく、始まり。」

(1) こち亀

(2) るろ剣

(3) ジャイアントロボ

(4) クラナド


[第5問] 「自分自身を大事にしてないヤツが、仲間なんて守れるものか。」

(1) シヴァ＝トランスバール

(2) フォルテ・シュトーレン

(3) 蘭花・フランボワーズ

(4) ルフト＝ヴァイチェン


[第6問] ｢ｻﾞﾄｰ様､今､御傍にっ･･･。｣

(1) ﾐﾘｱ＝ﾚｲｼﾞ

(2) ｽﾚｲﾔｰ

(3) ｳﾞｪﾉﾑ

(4) ｴﾃﾞｨ


[第7問] 終わりのない愛って、どんな愛?

(1) スカイ・クロラ

(2) イノセンス

(3) 人狼

(4) 立喰い師

