●ﾜﾝﾋﾟｰｽ

ﾜﾝﾋﾟｰｽ


[第1問] 海上レストランで最後にサンジはなんと言った

(1) オールブールを見つけて戻ってくるからな

(2) クソお世話になります

(3) クソお世話になりました

(4) クソお世話になっております


[第2問] 賞金首表である人物の中にもう人映っているそれはだれとはだれ

(1) ソゲキングがナミ

(2) ゾロにウソップ

(3) ルフィにゾロ

(4) ルフィにナミ


[第3問] ロビンが捕まったとき麦わらたちになんと言った

(1) 今までありがとう

(2) 笑って

(3) いきたい

(4) いぎだい


[第4問] シャンクスが腕を亡くした時なんと言った

(1) 安いもんだ腕時計の一個ぐらい

(2) 安いもんだ服の一枚なんか

(3) 安いもんだ腕の一本ぐらい

(4) ありがとうな俺達のために戦ってくれてありがとう でも無茶和するな


[第5問] 白髭が最後になんと言った

(1) ﾏﾝﾋﾟｰｽは実大するな

(2) ﾛｼﾞｬｰ今行くぞ

(3) ﾜﾝﾋﾟｰｽは実大する

(4) ありがとうｴｰｽ


[第6問] エースとルフィが三年後どこで会った

(1) アラバスター

(2) 風車村

(3) カヤの家の中

(4) サニー号の中


[第7問] シャンクスのキズは誰につけられたか

(1) バギー

(2) 黒ひげ

(3) 鷹の目

(4) 自分


[第8問] 麦わらたちの中でも一番背が高いのは

(1) ブルック

(2) フランキー

(3) ロビン

(4) ナミ


[第9問] ホーディンたちが食べた薬の副作用は何

(1) 小さくなる

(2) おじさんになる

(3) 泳げない

(4) 眠くなる


[第10問] ジャンプでミスしたやつがそのままたんこぼんになってしまったそのミスとは？

(1) モリアの縫い目の数が２つなのに３つになってた

(2) チョパーの帽子の留め具が逆になってたところ

(3) ソゲキングの仮面の欠片が右左逆だった

(4) バーソニクマが持ってるほんのタイトルを間違えた

