●戦う美少女! 必殺技・決め台詞検定

なかよし、りぼんを中心に、奮闘する美少女たちの必殺技や決め台詞を集めた検定。常識からマニアックまで、しっかり脳裏に焼きついていると自負する方へ。


[第1問] アニメ『美少女戦士セーラームーン』に登場する、火星の戦士・セーラーマーズ。彼女の決め台詞は『火星に代わって』……?

(1) げんばつよ

(2) おきよめよ

(3) せっかんよ

(4) おしおきよ


[第2問] アニメ『神風怪盗ジャンヌ』で、主人公・怪盗ジャンヌが、美術品に憑依した悪魔を封印するときに叫ぶ決め台詞は『チェック……』?

(1) リスト

(2) メイト

(3) ピクト

(4) メイド


[第3問] 『カードキャプターさくら』で、主人公・木之本桜が、クロウカードを捕まえるときに叫ぶ決め台詞は『汝のあるべき姿に○○○、クロウカード!』。では、○○○に入るのは?

(1) なおれ

(2) もどれ

(3) かえれ

(4) などれ


[第4問] 『赤ずきんチャチャ』で、主人公・チャチャが、マジカルプリンセスにホーリーアップし、不死鳥の剣ウィングクリスを使って放つ技は『ウィングクリス・バーニング・……』?

(1) フラッシュ

(2) スラッシュ

(3) クラッシュ

(4) マンダラー


[第5問] アニメ『東京ミュウミュウ』で、ミュウイチゴが放った、最終話のタイトルでもある決め台詞、『○○○○○にご奉仕するにゃん!』。では、○○○○○に入るのは?

(1) 日本の未来

(2) 地球の未来

(3) 宇宙の未来

(4) あなたの未来


[第6問] アニメ『ふたりはプリキュア Max Heart』から登場の、シャイニールミナス。彼女が単独で使う、ダメージを回復する技は『ルミナス・ハーティエル・……』?

(1) ランクション

(2) パンクション

(3) アンクション

(4) ハックション


[第7問] アニメ『キューティーハニー』シリーズで、主題歌を含む実に多くのシーンで使用されている、ハニーの決め台詞は「あなたの人生、○○○わよ」。では、○○○に入るのは?

(1) おわる

(2) かわる

(3) かえる

(4) きどる


[第8問] アニメ『おジャ魔女どれみ』の次回予告で使われていた決め台詞は、『ハッピー! ラッキー! ○○○○○○○○!』。では、○○○○○○○○に入るのは?

(1) みんなにあーげる!

(2) みんなもふぁーいと!

(3) みんなにとーどけ!

(4) みんなももーらお!


[第9問] アニメ『神風怪盗ジャンヌ』で、主人公・日下部まろんが怪盗ジャンヌに変身する際の決め台詞、「強気に本気、○○○○○、元気に勇気」。では、○○○○○に入るのは?

(1) 無敵に素敵

(2) 素敵に無敵

(3) 知的に素敵

(4) 射的は無敵


[第10問] アニメ『美少女戦士セーラームーンSuperS』で、主人公・月野うさぎがセーラームーンに変身する際の決め台詞は、以下の4つのうちどれでしょう?

(1) ムーン・クレッセント・メイクアップ

(2) ムーン・クレッセントパワー・メイクアップ

(3) ムーン・クライシスパワー・メイクアップ

(4) ムーン・クライシス・メイクアップ

