●御坂美琴検定～LEVEL5～

出来る人にはできるかな…


[第1問] 御坂の血液型は？

(1) A

(2) B

(3) O

(4) AB


[第2問] 御坂の部屋の番号は？

(1) 208

(2) 304

(3) 308

(4) 404


[第3問] 御坂美琴の母親の名前は？

(1) 御坂美鈴

(2) 御坂綾乃

(3) 御坂鈴美

(4) 板東英二


[第4問] 御坂美琴の声優は？

(1) 佐藤里奈

(2) 佐藤莉奈

(3) 佐藤理名

(4) 佐藤利奈


[第5問] 御坂美琴の年齢は？

(1) １２

(2) １３

(3) １４

(4) １５


[第6問] 第三次世界大戦で御坂と行動を共にした妹達は？

(1) 10035

(2) 13500

(3) 20001

(4) 10777


[第7問] 御坂美琴の身長は？

(1) 158

(2) 161

(3) 164

(4) 165


[第8問] 御坂の通う学校は第何学区に属する？

(1) 7

(2) 10

(3) 13

(4) 17


[第9問] 超電磁砲の射程距離は？

(1) 30m

(2) 50m

(3) 73m

(4) 100m


[第10問] 雷撃の槍の最大電圧は？

(1) ３万V

(2) １００万V

(3) １０億V

(4) 電圧に限りはない

