●スーラジ ザ・ライジングスター検定 難問編

ニコニコチャンネルで全話配信中(検定作成日現在)の“インド版巨人の星”こと、『スーラジ ザ・ライジングスター』の検定です。難易度が高い…と言うよりも、ちょっと意地悪な問題が多いかもしれませんｗ


[第1問] 第10話「絶体絶命のピンチ」において、サンスクリティ高校クリケット部員が腹痛に耐えながら対戦した学校はどこ？

(1) ブライトン学園

(2) メリー高校

(3) デヴィッドヒル高校

(4) アトゥリヤ学院


[第2問] 第3話「ノックアウト打法」や第25話「魔球“アグニボール”」に登場した、スーラジの好物とされるインドのデザートは？

(1) キール

(2) ソアンパプディ

(3) グラブジャムン

(4) ジャレビ


[第3問] 第11話「強打者ラージの秘密」において、ラージの弟・妹は全部で何人登場した？

(1) 3人

(2) 4人

(3) 5人

(4) 6人


[第4問] 第18話「選手生命の危機」において、スーラジが貰った初任給の金額は？

(1) 1200ルピー

(2) 1300ルピー

(3) 1400ルピー

(4) 1500ルピー


[第5問] 次のうち、劇中で人物名として登場しなかったインド神話の神の名前は？

(1) シヴァ

(2) ラクシュミー

(3) ヴィシュヌ

(4) スーリヤ


[第6問] 第5話「姉ちゃんの幸せ」において、シャンティに求婚した社長の名前は？

(1) クランティ

(2) ラグワン

(3) マルホトラ

(4) ジネーシュ


[第7問] 全国高校選手権大会で、最優秀ボウラー賞を獲得したのは？

(1) スーラジ

(2) ニキル

(3) ラージ

(4) マンゲーシュ


[第9問] “ヴィクラムは強敵じゃない無敵だ”という名言が出たのは何話？

(1) 第8話「“つま先打法”で攻略せよ」

(2) 第9話「偵察ヘリを飛ばせ」

(3) 第10話「絶体絶命のピンチ」

(4) 第11話「強打者ラージの秘密」


[第10問] スーラジが複雑骨折で入院した際、何号室で療養していた？

(1) 201号室

(2) 202号室

(3) 203号室

(4) 204号室

