●幽遊白書検定上級

幽遊白書の検定です。
がんばってください。


[第1問] 浦飯温子の初登場時の年齢は？

(1) ２６歳

(2) ２７歳

(3) ２８歳

(4) ２９歳


[第2問] 飛影の母親の名前は？

(1) 泪

(2) 氷菜

(3) 雪菜

(4) 妖孤


[第3問] 南野志保利の再婚相手の名字は？

(1) 筒井

(2) 鮫島

(3) 黒田

(4) 畑中


[第4問] 桑原和真の父親の身長は？

(1) １９２cm

(2) １９４cm

(3) １９６cm

(4) １９８cm


[第5問] 朱雀の近くにいる鳥の名前は？

(1) ムルグ

(2) アルカ

(3) ヘレン

(4) プリム


[第6問] 裏御伽チームの「ウラウラシマ」の正しい漢字は？

(1) 浦裏島

(2) 浦々島

(3) 裏浦島

(4) 裏々島


[第7問] 左京は何人兄弟？（左京本人も含む）

(1) ４人

(2) ５人

(3) ６人

(4) ７人


[第8問] 海藤優の領域（テリトリー）は最高半径何m？

(1) ５m

(2) １０m

(3) １５m

(4) ２０m


[第9問] 初代霊界探偵の名前は？

(1) 仙水忍

(2) コエンマ

(3) 真田黒呼

(4) 不明


[第10問] 魔界統一トーナメントの準優勝者の名前は？

(1) 煙鬼

(2) 才蔵

(3) 九浄

(4) 孤光

