●いぬかみっ!基本問題

いぬかみっ!から出します


[第1問] 薫の犬神序列１位は誰か。

(1) なでしこ

(2) せんだん

(3) いまり

(4) さよか


[第2問] 薫の犬神序列２位は誰か。

(1) なでしこ

(2) フラノ

(3) ごきょうや

(4) さよか


[第3問] 薫の犬神序列３位は誰か。

(1) てんそう

(2) せんだん

(3) いぐさ

(4) たゆね


[第4問] 薫の犬神序列４位は誰か。

(1) たゆね

(2) ともはね

(3) いまり

(4) なでしこ


[第5問] 薫の犬神序列５位は誰か。

(1) ごきょうや

(2) てんそう

(3) フラノ

(4) ようこ


[第6問] 薫の犬神序列６位は誰か。

(1) ともはね

(2) カーネル・○○ダース

(3) ようこ

(4) てんそう


[第7問] 薫の犬神序列７位は誰か。

(1) ようこ

(2) ともはね

(3) フラノ

(4) いまり


[第8問] 薫の犬神序列８位は誰か。

(1) いまり

(2) さよか

(3) ともはね

(4) れい


[第9問] 薫の犬神序列９位は誰か。

(1) さよか

(2) りんご

(3) めぐる

(4) せんだん


[第10問] 薫の犬神序列１０位は誰か。

(1) さよか

(2) あすか

(3) ともはね

(4) いぐさ

