●お目付け役、使魔、妖精検定

70年代から現代までの魔法系アニメに登場する主人公を補佐したり、人間の言葉を話したり魔法を使うことのできる役目のキャラクター（ペット、妖精）を当てるものです。


[第1問] 魔法使いチャッピーに登場する、人間の言葉が話せ、魔法が使えるペットの名前は

(1) トシちゃん

(2) ドシちゃん

(3) トンちゃん

(4) ドンちゃん


[第2問] ワッフルが登場するアニメは

(1) 砂沙美☆魔法少女クラブ

(2) プリンセスチュチュ

(3) 魔法のエンジェル スイートミント

(4) 魔法少女プリティサミー


[第3問] ギャップルが登場するアニメは

(1) 愛と勇気のピッグガール とんでぶーりん

(2) オシャレ魔女 ラブandベリー しあわせのまほう

(3) 魔法使いTai!

(4) 魔法陣グルグル


[第4問] 愛天使伝説ウェディングピーチで愛天使たちのサポート役の名前は

(1) おじゃ魔ムシ

(2) じゃがピー

(3) じゃ魔ピー

(4) じゃ魔モン


[第5問] ケルベロスが登場するアニメは

(1) カードキャプターさくら

(2) ひめチェン!おとぎちっくアイドル リルぷりっ

(3) 姫ちゃんのリボン

(4) 魔法少女まどか☆マギカ


[第6問] ユーノ・スクライアが登場するアニメは

(1) オシャレ魔女 ラブandベリー しあわせのまほう

(2) 大魔法峠

(3) 魔女っ娘つくねちゃん

(4) 魔法少女リリカルなのは


[第7問] コレクター・ユイでユイのパートナー役の名前は

(1) AR（エーアール）

(2) ER（イーアール）

(3) IR（アイアール）

(4) JR（ジェーアール）


[第8問] しゅごキャラ!で一番目に生まれた日奈森亜夢のしゅごキャラの名前は

(1) ラン

(2) スー

(3) ミキ

(4) ダリヤ


[第9問] ふしぎ星の☆ふたご姫(Gyu!)でファインとレインに使える妖精の名前は

(1) パーモ

(2) ピーモ

(3) プーモ

(4) ペーモ


[第10問] アルベール・カモミールが登場するアニメは

(1) かみちゃまかりん

(2) 魔法騎士レイアース

(3) 魔法少女隊アルス

(4) 魔法先生ネギま!

