●ドラベース検定　3級

身近なドラベースの知識について理解できます。


[第1問] この中で第31回ビックドーム杯の予選テストに参加していない選手は？

(1) ひろし

(2) ヒョロえもん

(3) クロえもん

(4) エーモンド


[第2問] 荒川ホワイターズの7番打者の守備位置は？

(1) サード

(2) ショート

(3) レフト

(4) ライト


[第3問] この中でデビルキングス戦でエラーとして出塁した選手は？

(1) チビえもん

(2) パクえもん

(3) トラえもん

(4) ヒョロえもん


[第4問] 甲虫杯決勝戦でミカを先頭打者として起用した理由は？

(1) トラえもんが体調不良になったから

(2) トンボールの攻略法を暗記していたから

(3) 茜フライヤーズを油断させるため

(4) シロえもんを驚かせるため


[第5問] 第32回ビックドーム杯での対荒川ホワイターズ時のクロえもんの成績は？

(1) 3打数1安打

(2) 3打数2安打

(3) 4打数1安打

(4) 4打数2安打


[第6問] ロナえもんの背番号は？

(1) 1

(2) 10

(3) 11

(4) 12


[第7問] WABCの初戦でイギリスと戦った時にひみつ道具の候補の中で両国とも使用していないひみつ道具は？

(1) ひっこし地図

(2) ガリバートンネル

(3) アスレチックハウス

(4) スパイセット


[第8問] WABC決勝戦でエモルの登板時にシロえもんがエモルに教えていないことは？

(1) 今のままではドランプに打たれてしまうということ

(2) 1，2番は捨て駒だということ

(3) プレートの踏み位置を変えて球に角度をつけること

(4) ドランプはエモルからホームランを打つということ


[第9問] 日本縦断トーナメントでチビえもんはフエルミラーを使って自分を何人増やした？
ただしP130 1コマ目の数を対象とする。

(1) 82

(2) 83

(3) 87

(4) 88


[第10問] シロえもんが大会上でのライバルと扱ったチームは？

(1) 江戸川ドラーズ

(2) 山奥山寺

(3) 江戸川ボローズ

(4) チーム名を言っていない

