●昔のポケモン（赤緑青版）検定

ポケモンの赤・緑・青バージョンに関する問題。
懐かしいなあ。


[第1問] 赤版・緑版が発売された年は？

(1) 1991年

(2) 1996年

(3) 1998年

(4) 2000年


[第2問] オーキド博士から最初にもらう３匹のうち、「体当たり」以外の攻撃技を持っているのは？

(1) フシギダネ

(2) ヒトカゲ

(3) ゼニガメ

(4) 全員体当たりを覚えている


[第3問] ニビジムには、タケシ以外に何人トレーナーがいる？

(1) ０人

(2) １人

(3) ２人

(4) ３人以上


[第4問] ハナダジムで釣りをすると、何が釣れる？

(1) コイキング

(2) トサキント

(3) メノクラゲ

(4) 何も釣れない


[第5問] クチバジムの厄介な仕掛けは？

(1) 矢印の床

(2) ごみ箱からスイッチを探す

(3) ワープする床

(4) トレーナーと連続バトル


[第6問] タマムシジムの特徴は？

(1) トレーナーとリーダーが全員女性。

(2) 草むらがある。

(3) ライバルと遭遇する。

(4) 矢印の床がある。


[第7問] セキチクジムの特徴は？

(1) トレーナーが全員「ジプシージャグラー」

(2) リーダーのキョウがたくさんいる。

(3) ジム内に見えにくい壁がある。

(4) 歩数制限があって、それを超えると強制的にジムから出てしまう。


[第8問] ヤマブキジムの隣にある建物は何？

(1) ポケモンセンター

(2) ものまね娘の家

(3) 格闘道場

(4) シルフカンパニー


[第9問] グレンジムに入るのに必要な道具は？

(1) 不思議なカギ

(2) 珍しいカギ

(3) 秘密のカギ

(4) ヤンチャなガキ


[第10問] トキワジムのリーダーは実は？

(1) オーキド博士

(2) ロケット団のリーダー

(3) いない

(4) ポケモンの捕まえ方を教えてくれるジジイ

