●みんな大好き♡たまごっち！検定

８月に開催される「たまごっちＥＸＰＯ2010」を記念して「たまごっち！検定」を実施。合格者の中から抽選でチケットをプレゼント（5組10名様）します！イベント詳細はｈttp://tamatv.com


[第1問] テレビ東京系で大人気放送中のアニメ「たまごっち！」
放送は何曜日？

(1) 月曜日

(2) 土曜日


[第2問] アニメでも大活躍、たまごっち星のスーパーアイドルと言えば、だれ？

(1) レポっち

(2) ラブリン


[第3問] たまごっち星にあるテレビ局といえば？

(1) ＴＡＭＡＴＡＭＡ－ＴＶ

(2) ＴＡＭＡＸ－ＴＶ


[第4問] ラブリンが仕事で移動する時に乗る車といえば？

(1) ラブリンカー

(2) たまタクシー


[第5問] ラブリっちといつも一緒にいるケータイ電話型のたまごっちと言えば？

(1) リンリン

(2) テルリン


[第6問] アニメ「たまごっち！」オープニング主題歌である「GO-GOたまごっち！」を歌っているアーティストと言えば、だれ？

(1) ラブリン

(2) ならゆりあ


[第7問] ラブリっちのお家は何のお店？

(1) カフェ

(2) コンビニ


[第8問] まめっちが憧れているヒーローが出演している、たまごっち星のＴＶ番組と言えば？

(1) ブラックハット

(2) ＧＯＴＣＨＩＭＡＮ（ゴッチマン）


[第9問] たまごっち星に本店があり、地球でも原宿に支店をもつショップと言えば？

(1) ラブリンショップ

(2) たまごっちデパート（たまデパ）


[第10問] たまごっち星の征服をたくらむ3人組スペイシーブラザーズ。
いつも過激な発言で仲間を怖がらせるのは誰？

(1) ピポスペっち

(2) パピスペっち

