●ｱﾆﾒｵｰﾙｽﾀｰ検定

ｱﾆﾒ全般から出します｡


[第1問] バンブーブレードで室江高校が鎌崎高校と戦ったときの東の相手は誰だったか。

(1) 近本成海

(2) 横尾摩耶

(3) 末野将子

(4) 川添珠姫


[第2問] 夜桜四重奏でヒメとことはが戦った時ことはは何処へいくチケットを駄目にされキレたか。

(1) 独

(2) 仏

(3) 伊

(4) 米


[第3問] 新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝのﾊﾟﾁ ﾝｺ奇跡の価値はで弐号機がデュアルソーを使う使徒は何か。

(1) ｻｷｴﾙ

(2) ﾊﾞﾙﾃﾞｨｴﾙ

(3) ｶﾞｷﾞｴﾙ

(4) ｾﾞﾙｴﾙ


[第4問] とある科学の超電磁砲で美琴の超電磁砲は何を飛ばしているか。

(1) ５００円玉

(2) パチスロのコイン

(3) 伝説の卑弥呼の使っていた手鏡

(4) ゲームセンターのコイン


[第5問] 涼宮ハルヒの憂鬱で長門有希がキョンに言った言葉はどれか。

(1) この宇宙を統括する情報統合思念体によって作られた対有機生命体コンタクト用ヒューマノイドインターフェースそれが私。

(2) この地球を統括する情報統合思念体によって作られた対有機生命体コンタクト用ヒューマノイドインターフェースそれが私。

(3) この銀河を統括する情報統合思念体によって作られた対有機生命体コンタクト用ヒューマノイドインターフェースそれが私。

(4) アゲパンが食べたい。


[第6問] テイルズオブヴェスペリアでリタの秘奥義はなにか。

(1) エンシェントカタストロフィ

(2) ブラストハート

(3) 惜敗転居憲

(4) メテオストーム


[第7問] 絶対可憐チルドレンで三宮紫穂は何と言われていたか。

(1) 腹黒の王

(2) 破壊の女王

(3) 光速の女神

(4) 禁断の女帝


[第8問] とらドラ!の主題歌ではなかった曲はどれか。

(1) ヒカリ

(2) Silky heart

(3) オレンジ

(4) プレパレード


[第9問] けいおん!で唯のギターの値段はいくらだったか。

(1) １５００００円

(2) １４８０００円

(3) ２０００００円

(4) ５００００円


[第10問] しおんの王漫画４巻の表紙は誰か。

(1) 羽仁名人

(2) 安岡紫音

(3) 二階堂沙織

(4) 横山刑事

