●GOSICKーゴシックー知識力検定

角川文庫および角川ビーンズ文庫で発売されている、著者：桜庭一樹による原作小説シリーズと2011年1月に放送された同アニメ作品が検定範囲になります。
難易度は優しすぎず、難しすぎずを目指しましたが、この作品が好きな人なら答えられると思います。
一問でも多く答えられることを願っています。
頑張って下さい。[[IMG:000/000/001/169.jpg]]


[第1問] 日本からの留学生久城一弥は学園内で他の生徒たちから何と呼ばれている？

(1) 黒い悪魔

(2) 黒い死神

(3) 黒き悪魔

(4) 黒き死神


[第2問] ヴィクトリカ・ド・ブロアはお菓子が好きだが、彼女が食べてない日本のお菓子を一つ選びなさい。

(1) 雷おこし

(2) 飴細工


[第3問] グレヴィール・ド・ブロア警部が図書館の最上階で初めて久城一弥と会ったとき、久城のことを容姿からなんと呼んだか？

(1) 黒い毛並みの若人

(2) 黒い毛並みの少年

(3) 黒い毛並みの小栗鼠

(4) 黒い毛並みの小猫


[第4問] 問題3に関連して、グレヴィール・ド・ブロア警部が初めて久城一弥に会った時、久城越しにヴィクトリカに相談した難事件でメイドによって射殺されたロクサーヌが打ち抜かれていた眼は？

(1) 右眼

(2) 左眼


[第5問] 「事件を解決する」という意味を表すヴィクトリカが作品中何度も口にする言葉は何か？

(1) 再構築

(2) 再合成

(3) 再形成

(4) 再構成


[第6問] 原作小説「GOSICK-ゴシック-」第1巻のプロローグのタイトルは何か？

(1) 野兎を走らせよ！

(2) 野兎を走らせて！

(3) 野兎を走らせろ！


[第7問] 問題3に関連して事件解決後、ヴィクトリカが久城に対して、「自分のことが知りたいなら踊れ」と命じた時、久城が踊っていないのは何か？

(1) 阿波踊り

(2) 盆踊り

(3) サンバ


[第8問] 問題3に関連して、ロクサーヌ宛ての夕食の招待状を手にヴィクトリカ達が乗り込んだ豪華客船の名前は何か？

(1) クイーンズ・ベリー号

(2) クイーン・ベリー号

(3) クイーン・ベリーズ号


[第9問] 日本からソヴュールに留学してきた久城一弥は帝国軍人一家の何男？

(1) 帝国軍人の長男

(2) 帝国軍人の二男

(3) 帝国軍人の三男


[第10問] 【サービス問題】
少し休憩しましょう。
この作品の原作者の名前は何ですか？

(1) 桜庭一樹

(2) 桜塚やっくん

(3) 桜田桃矢

